Sl No,Rule ID,Rule Description,Coverage,Notes
200,RSSGMJ,"The reset of a system component that affects the RME security guarantee can only be controlled by MSD or a Trusted subsystem, or driven by an RME system reset.",Not covered,Security-affecting reset controls are implementation/platform specific.
201,RKQLKN,LEGACY_TZ_EN is not permitted to change value after RME system reset has been deasserted.,"legacy_tz_enable_after_reset, legacy_tz_enable_before_reset",
202,RKXMHF,"A system that contains RME components, that have the LEGACY_TZ_EN input, will drive a common tie-off input value into all components.",legacy_tz_support_check,
203,RHCGZN,"If LEGACY_TZ_EN is TRUE, PAS[1] is driven to 0b0 by any logic that enforces Table",legacy_tz_en_drives_root_to_secure,
204,RCLKXF,A PE that supports the LEGACY_TZ_EN tie-off hides the RME capability if LEGACY_TZ_EN is TRUE and reverts all functionality defined by RME.,legacy_tz_support_check,
205,RCKBGZ,A legacy completer is attached to an RME IP by driving the NS signal of the completer from PAS[0] of the RME IP.,Not covered,Legacy requester/completer attachment is integration-specific.
206,RYKSSD,A legacy requester is attached to an RME IP by driving PAS[0] of the RME IP from the NS signal of the legacy requester and driving PAS[1] of the RME IP to 0b0.,Not covered,Legacy requester/completer attachment is integration-specific.
207,RLYXGC,"Multi-chip CTC interfaces transport PAS tags, MECIDs, CMOs, and DVM messages as required.",Not covered,Multi-chip CTC transport is platform specific.
208,RHXJRC,"If an RME system supports 4 MPAM PARTID spaces, the CTC interface transports the MPAM_SP[1:0] indication.",Not covered,MPAM/CTC multi-chip signaling is implementation/platform specific.
209,RGZMNH,An RME system reset in a multi-chip system affects all nodes.,Not covered,Multi-chip CTC reset behavior is platform specific.
210,RCMMZS,Physically exposed CTC interfaces support cryptographic link encryption and integrity protection.,Not covered,CTC link protection needs platform/fabric visibility outside generic ACS.
211,RVZCPW,CTC link protection provides IDE-equivalent or stronger encryption and integrity.,Not covered,CTC link-protection strength needs platform/fabric visibility outside generic ACS.
212,RMSRGY,CTC link protection is mandatory for protected PAS transactions and PAS-independent traffic such as DVM messages.,Not covered,CTC link-protection coverage needs platform/fabric visibility outside generic ACS.
213,RKYCPH,Security-sensitive CTC interface registers are MSD-protected or measurable.,Not covered,CTC security registers are implementation-defined or measurable-only.
214,RLXPMB,Global multi-chip system state is established consistently across all nodes.,Not covered,Global multi-chip state establishment is platform specific.
215,RFPYMV,"On a successful completion of an Arm TDISP VDM request, a corresponding response message is returned by the device.",tdisp_rfpymv_vdm_response_check,
216,RWFPXR,The device is permitted to respond to any Arm TDISP VDM request with the TDISP_ERROR message as specified by TDISP [4].,tdisp_rwfpxr_tdisp_error_allowed,
217,RPXLFY,GET_VERSION_REQ queries Arm TDISP VDM protocol versions supported by the device.,tdisp_rpxlfy_get_version_req,
218,RWFWLF,GET_VERSION_RESP returns the supported Arm TDISP VDM protocol version list.,tdisp_rwfwlf_get_version_resp_format,
219,RXDKDT,SET_INTERFACE_REQ associates memory properties with a TDI.,tdisp_rxdkdt_set_interface_req_semantics,
220,RFMHST,SET_INTERFACE_RESP returns the response header for SET_INTERFACE completion.,tdisp_rfmhst_set_interface_resp_format,
221,RGRPDP,GET_DEV_PROP_REQ queries Arm TDISP VDM device properties.,tdisp_rgrpdp_get_dev_prop_req,
222,RGHDCB,GET_DEV_PROP_RESP returns Arm TDISP VDM device properties and register details.,tdisp_rghdcb_get_dev_prop_resp_format,
